City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
223,Seidu,SL,2021-03-26 04:38:16,9.0167,-10.6,70.16,91,29,2.15
224,Mackay,AU,2021-03-26 04:38:16,-21.15,149.2,87.01,65,2,14.97
225,Laguna,US,2021-03-26 04:38:16,38.421,-121.4238,57.2,66,1,5.75
226,Havelock,US,2021-03-26 04:38:16,34.8791,-76.9013,71.01,88,100,8.01
227,Katobu,ID,2021-03-26 04:38:17,-4.9408,122.5276,85.48,70,85,6.58
228,Taltal,CL,2021-03-26 04:38:17,-25.4,-70.4833,66.24,76,0,4.25
229,Nyagan,RU,2021-03-26 04:38:17,62.1406,65.3936,33.78,92,20,10.33
230,Gumdag,TM,2021-03-26 04:38:18,39.2061,54.5906,56.19,58,10,9.01
231,Alta Floresta,BR,2021-03-26 04:38:18,-9.8756,-56.0861,70.07,97,100,2.46
232,Bengkulu,ID,2021-03-26 04:37:00,-3.8004,102.2655,85.35,64,84,7.4
233,Ancud,CL,2021-03-26 04:38:19,-41.8697,-73.8203,50.0,84,0,3.71
234,Yarmouth,US,2021-03-26 04:33:42,41.7057,-70.2286,51.01,93,90,8.05
235,Rock Sound,BS,2021-03-26 04:38:19,24.9,-76.2,76.82,77,62,17.29
236,Palmaner,IN,2021-03-26 04:38:19,13.2,78.75,89.33,21,45,9.37
237,Mugur-Aksy,RU,2021-03-26 04:38:20,50.35,90.5,26.28,64,92,13.82
238,Perth,AU,2021-03-26 04:38:20,-31.9333,115.8333,81.0,38,0,6.91
239,Georgiyevka,KZ,2021-03-26 04:38:20,43.0369,74.7114,53.6,94,75,6.71
240,Areka,ET,2021-03-26 04:38:21,7.0667,37.7,68.67,15,34,7.36
241,Krasnoselkup,RU,2021-03-26 04:38:21,65.7,82.4667,24.33,94,100,20.71
242,Oistins,BB,2021-03-26 04:38:22,13.0667,-59.5333,77.0,65,40,18.41
243,Longyearbyen,SJ,2021-03-26 04:38:22,78.2186,15.6401,14.0,73,20,10.36
244,Puerto Ayora,EC,2021-03-26 04:38:22,-0.7393,-90.3518,75.0,94,49,1.01
245,Dodoma,TZ,2021-03-26 04:38:23,-6.1722,35.7395,69.8,88,75,9.22
246,Southbridge,US,2021-03-26 04:38:23,42.0751,-72.0334,55.99,96,100,1.01
247,Bolton,GB,2021-03-26 04:38:23,53.5833,-2.4333,48.99,74,100,5.99
248,Namasuba,UG,2021-03-26 04:38:24,0.6894,32.4214,67.51,76,100,0.94
249,Mount Gambier,AU,2021-03-26 04:38:24,-37.8333,140.7667,69.8,46,75,14.97
250,Carnarvon,AU,2021-03-26 04:38:24,-24.8667,113.6333,78.8,53,97,16.11
251,Qaqortoq,GL,2021-03-26 04:38:25,60.7167,-46.0333,5.0,33,47,11.5
252,Chama,CH,2021-03-26 04:38:25,47.1821,8.4636,39.99,93,16,3.94
253,Woodward,US,2021-03-26 04:38:25,36.4337,-99.3904,44.6,70,1,5.75
254,Moerai,PF,2021-03-26 04:38:26,-22.4333,-151.3333,80.73,79,39,18.03
255,Cairns,AU,2021-03-26 04:38:26,-16.9167,145.7667,91.99,62,40,11.5
256,Vao,NC,2021-03-26 04:38:26,-22.6667,167.4833,77.63,73,8,12.19
257,Muzhi,RU,2021-03-26 04:38:27,65.3667,64.6667,32.94,83,81,12.62
258,Omsukchan,RU,2021-03-26 04:38:27,62.5333,155.8,-2.29,79,63,3.2
259,Taikang,CN,2021-03-26 04:38:27,46.8333,124.4167,43.48,61,100,9.31
260,Labuhan,ID,2021-03-26 04:38:28,-6.8844,112.2051,86.13,68,98,2.28
261,Kalabo,ZM,2021-03-26 04:38:28,-14.97,22.6814,69.03,79,96,4.56
262,Ust-Ishim,RU,2021-03-26 04:38:28,57.6935,71.1665,32.61,97,97,7.29
263,Kavieng,PG,2021-03-26 04:38:29,-2.5744,150.7967,84.54,74,99,13.89
264,Palmas,BR,2021-03-26 04:38:29,-10.2128,-48.3603,77.0,94,75,2.28
265,Rossosh,RU,2021-03-26 04:38:29,51.1209,38.5116,31.84,90,100,11.25
266,Carlsbad,US,2021-03-26 04:38:30,33.1581,-117.3506,55.99,76,75,14.97
267,Yushu,CN,2021-03-26 04:38:30,44.8,126.5333,49.8,43,100,9.98
268,Butaritari,KI,2021-03-26 04:38:30,3.0707,172.7902,81.32,78,75,14.29
269,Ciudad Valles,MX,2021-03-26 04:35:05,21.9833,-99.0167,68.81,60,63,2.75
270,College,US,2021-03-26 04:38:31,64.8569,-147.8028,28.4,64,75,9.22
271,Izhma,RU,2021-03-26 04:38:31,65.0083,53.9113,33.58,93,100,11.34
272,Cabra,ES,2021-03-26 04:38:31,37.4725,-4.4421,50.0,73,100,2.59
273,Kugulta,RU,2021-03-26 04:38:32,45.3636,42.3889,32.0,93,75,20.13
274,Lashio,MM,2021-03-26 04:38:32,22.9333,97.75,91.49,15,33,4.56
275,Ningxiang,CN,2021-03-26 04:38:32,37.34,111.2052,49.19,78,100,4.76
276,Batagay,RU,2021-03-26 04:38:33,67.6333,134.6333,-0.58,80,91,5.1
277,Upernavik,GL,2021-03-26 04:38:33,72.7868,-56.1549,-28.61,84,27,5.03
278,Uthal,PK,2021-03-26 04:38:34,25.8072,66.6219,90.14,14,0,7.09
279,Taoudenni,ML,2021-03-26 04:38:34,22.6783,-3.9836,63.84,15,0,12.3
280,Odesskoye,RU,2021-03-26 04:38:34,54.2111,72.9651,22.17,92,46,11.79
281,Khipro,PK,2021-03-26 04:38:35,25.8285,69.3772,94.01,12,0,6.76
282,Chutove,UA,2021-03-26 04:38:35,49.7104,35.1603,33.42,66,84,9.46
283,Jalu,LY,2021-03-26 04:38:35,29.0331,21.5482,48.87,67,4,7.9
284,Karratha,AU,2021-03-26 04:38:09,-20.7377,116.8463,89.67,44,31,11.95
285,Spokoynaya,RU,2021-03-26 04:38:36,44.2468,41.4015,33.64,77,100,1.63
286,Kinsale,IE,2021-03-26 04:38:36,51.7075,-8.5306,39.99,93,75,9.22
287,Kirensk,RU,2021-03-26 04:38:36,57.7853,108.1119,30.51,81,88,6.51
288,Solnechnyy,RU,2021-03-26 04:38:37,50.7214,136.6319,34.66,62,89,4.94
289,Ahipara,NZ,2021-03-26 04:38:37,-35.1667,173.1667,68.45,64,96,10.42
290,Ilinskiy,RU,2021-03-26 04:38:37,55.619,38.1182,36.0,93,100,6.71
291,Alcantara,BR,2021-03-26 04:38:38,-2.4089,-44.4147,75.2,94,40,4.61
292,Ati,TD,2021-03-26 04:38:38,13.2154,18.3353,72.75,16,45,11.12
293,Sorgun,TR,2021-03-26 04:38:38,39.8101,35.186,21.2,89,35,1.79
